,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
23,Ayman Azhil,ma MAR,MF,Leverkusen,22-028,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ce81d82d
24,Sardar Azmoun,ir IRN,FWMF,Leverkusen,28-127,1995,8.1,4,23,9,39.1,2.85,1.12,0.17,0.44,10.9,0,0,0,3.1,3.1,0.14,+0.9,+0.9,Matches,10549b49
25,Sanoussy Ba,de GER,DF,RB Leipzig,19-123,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f582d5c1
26,Mitchel Bakker,nl NED,DFMF,Leverkusen,22-322,2000,15.8,3,15,8,53.3,0.95,0.51,0.20,0.38,19.7,0,0,0,1.5,1.5,0.10,+1.5,+1.5,Matches,a8567629
27,Ridle Baku,de GER,DFFW,Wolfsburg,25-030,1998,25.7,5,27,11,40.7,1.05,0.43,0.19,0.45,19.5,0,0,0,2.8,2.8,0.10,+2.2,+2.2,Matches,442b56fa
28,Aymen Barkok,ma MAR,MF,Mainz 05,24-352,1998,5.4,0,10,1,10.0,1.87,0.19,0.00,0.00,22.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,a2a85828
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-125,2000,21.8,4,31,14,45.2,1.42,0.64,0.13,0.29,14.1,0,0,0,3.6,3.6,0.12,+0.4,+0.4,Matches,00242b75
30,Gil Bastião Dias,pt POR,FW,Stuttgart,26-222,1996,4.4,1,10,4,40.0,2.26,0.90,0.10,0.25,20.2,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,e61bdd69
31,Maximilian Bauer,de GER,DF,Augsburg,23-088,2000,18.7,0,8,0,0.0,0.43,0.00,0.00,,8.5,0,0,0,1.6,1.6,0.20,-1.6,-1.6,Matches,44a20f0c
32,Oliver Baumann,de GER,GK,Hoffenheim,32-340,1990,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,47064058
33,Timo Baumgartl,de GER,DF,Union Berlin,27-065,1996,5.7,0,4,2,50.0,0.70,0.35,0.00,0.00,11.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,bd7d2e6d
34,Julian Baumgartlinger,at AUT,MF,Augsburg,35-126,1988,6.2,0,3,0,0.0,0.49,0.00,0.00,,18.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,69374ff5
35,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,23-280,1999,26.2,7,63,19,30.2,2.41,0.73,0.11,0.37,15.7,0,0,0,6.8,6.8,0.11,+0.2,+0.2,Matches,437f2b00
36,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,26-260,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fbbc8e15
37,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,29-015,1994,12.8,5,22,8,36.4,1.72,0.62,0.18,0.50,14.4,0,1,1,4.0,3.2,0.15,+1.0,+0.8,Matches,a53b661f
38,Sheraldo Becker,sr SUR,FW,Union Berlin,28-088,1995,25.4,9,56,23,41.1,2.20,0.90,0.16,0.39,18.5,0,0,0,4.8,4.8,0.09,+4.2,+4.2,Matches,8eb55dbb
39,Kevin Behrens,de GER,FW,Union Berlin,32-094,1991,14.5,7,30,13,43.3,2.07,0.90,0.23,0.54,11.9,0,0,0,4.3,4.3,0.14,+2.7,+2.7,Matches,30ae134d
40,Stefan Bell,de GER,DF,Mainz 05,31-257,1991,23.7,0,7,2,28.6,0.30,0.08,0.00,0.00,10.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,857a5abe
41,Karim Bellarabi,de GER,FWMF,Leverkusen,33-030,1990,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bee0bab1
42,Jude Bellingham,eng ENG,MF,Dortmund,19-313,2003,28.9,7,61,22,36.1,2.11,0.76,0.11,0.32,17.7,2,0,0,7.0,7.0,0.11,0.0,0.0,Matches,57d88cf9
